,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
76,Fieldston,40.89543742690383,-73.90564259591682,The Pink Lady,Record Shop,40.8913129674851,-73.89500465762968,Bronx,NY
77,Fieldston,40.89543742690383,-73.90564259591682,Lounge 243,Bar,40.89102799117388,-73.89830347223476,Bronx,NY
78,Fieldston,40.89543742690383,-73.90564259591682,Barcelona Bites Gastro Club,Lounge,40.889419717020665,-73.89923731358874,Bronx,NY
79,Fieldston,40.89543742690383,-73.90564259591682,Cayuga Way,Lounge,40.897222,-73.896831,Bronx,NY
80,Fieldston,40.89543742690383,-73.90564259591682,Fenwick's Bar & Grill,Bar,40.88717029252308,-73.90452576720683,Bronx,NY
81,Fieldston,40.89543742690383,-73.90564259591682,Sofia's Fitness and Dance Studio,Nightlife Spot,40.885277,-73.906973,Bronx,NY
82,Fieldston,40.89543742690383,-73.90564259591682,Madden's Uptown Bar & Grill,Pub,40.883327,-73.901777,Bronx,NY
83,Fieldston,40.89543742690383,-73.90564259591682,madden's Pub,Pub,40.88347546287676,-73.90164775353237,Bronx,NY
84,Fieldston,40.89543742690383,-73.90564259591682,Bugatti Music Group,Music Venue,40.886617629570324,-73.91140241689858,Bronx,NY
85,Fieldston,40.89543742690383,-73.90564259591682,The Broads,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY
86,Fieldston,40.89543742690383,-73.90564259591682,Mr Vigg's,Bar,40.9051625,-73.901347,Bronx,NY
87,Fieldston,40.89543742690383,-73.90564259591682,The Bridge Tavern,Sports Bar,40.883495380089926,-73.9017625732257,Bronx,NY
88,Fieldston,40.89543742690383,-73.90564259591682,T & Y Wine and Spirits,Other Nightlife,40.884048004341764,-73.90071761888552,Bronx,NY
89,Fieldston,40.89543742690383,-73.90564259591682,Blackstone Bar & Grill,Bar,40.887253200116284,-73.9072508524159,Bronx,NY
90,Fieldston,40.89543742690383,-73.90564259591682,Jim Lahti Master Studio,Music Venue,40.882785,-73.905243,Bronx,NY
91,Fieldston,40.89543742690383,-73.90564259591682,An Beal Bocht Cafe,Bar,40.88730309009836,-73.90502527528892,Bronx,NY
92,Riverdale,40.890834493891305,-73.9125854610857,Bugatti Music Group,Music Venue,40.886617629570324,-73.91140241689858,Bronx,NY
93,Riverdale,40.890834493891305,-73.9125854610857,Beach Walk at Sea Bright,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
94,Riverdale,40.890834493891305,-73.9125854610857,Tiki Bar,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
95,Riverdale,40.890834493891305,-73.9125854610857,Uptown Coffeehouse,Music Venue,40.892331,-73.905058,Bronx,NY
96,Riverdale,40.890834493891305,-73.9125854610857,Blackstone Bar & Grill,Bar,40.887253200116284,-73.9072508524159,Bronx,NY
97,Riverdale,40.890834493891305,-73.9125854610857,Hauben Danel Studio,Nightlife Spot,40.894324,-73.908478,Bronx,NY
98,Riverdale,40.890834493891305,-73.9125854610857,Rowes Wharf Bar,Bar,40.8832,-73.91,Boston,MA
99,Riverdale,40.890834493891305,-73.9125854610857,Roma Lounge,Lounge,40.89045281501451,-73.90234248082983,Bronx,NY
100,Riverdale,40.890834493891305,-73.9125854610857,Hudson's,Bar,40.886988,-73.907362,Bronx,NY
101,Riverdale,40.890834493891305,-73.9125854610857,Paulo's hole,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY
102,Riverdale,40.890834493891305,-73.9125854610857,A&B's Rooftop Lounge,Nightclub,40.884301,-73.911061,Bronx,NY
103,Riverdale,40.890834493891305,-73.9125854610857,NoMa Swingers Association,Other Nightlife,40.88129445224679,-73.90816431321454,N/A,New York
104,Riverdale,40.890834493891305,-73.9125854610857,Cortes Tattoo,Lounge,40.88083267211914,-73.91049194335938,Bronx,NY
105,Riverdale,40.890834493891305,-73.9125854610857,Room 310/311,Nightclub,40.890178,-73.899379,Bronx,NY
106,Riverdale,40.890834493891305,-73.9125854610857,622,Bar,40.890323,-73.899408,Bronx,NY
107,Riverdale,40.890834493891305,-73.9125854610857,American Legion,Dive Bar,40.880039,-73.908352,Bronx,NY
108,Riverdale,40.890834493891305,-73.9125854610857,The Sălbatic Twins HQ - NY,Music Venue,40.885246,-73.913115,Bronx,NY
109,Riverdale,40.890834493891305,-73.9125854610857,Wreckin Crew Productions  Studio,Music Venue,40.8846,-73.9135,Bronx,NY
110,Riverdale,40.890834493891305,-73.9125854610857,Papa Joe's,Sports Bar,40.887034671638105,-73.90400177819282,Bronx,NY
111,Riverdale,40.890834493891305,-73.9125854610857,235th at Riverdale Ave.,Cocktail Bar,40.88518953181696,-73.90736626166387,N/A,New York
112,Riverdale,40.890834493891305,-73.9125854610857,Lamp And Jelly Fish,Cocktail Bar,40.8831015575006,-73.90906570563936,Bronx,NY
113,Riverdale,40.890834493891305,-73.9125854610857,Mega Apartment.,Hotel Bar,40.885053842506586,-73.91298125998466,Bronx,NY
114,Riverdale,40.890834493891305,-73.9125854610857,Madden's Uptown Bar & Grill,Pub,40.883327,-73.901777,Bronx,NY
115,Riverdale,40.890834493891305,-73.9125854610857,Sofia's Fitness and Dance Studio,Nightlife Spot,40.885277,-73.906973,Bronx,NY
116,Riverdale,40.890834493891305,-73.9125854610857,madden's Pub,Pub,40.88347546287676,-73.90164775353237,Bronx,NY
117,Riverdale,40.890834493891305,-73.9125854610857,Play Room),Nightclub,40.890182,-73.899381,Bronx,NY
118,Riverdale,40.890834493891305,-73.9125854610857,T & Y Wine and Spirits,Other Nightlife,40.884048004341764,-73.90071761888552,Bronx,NY
119,Riverdale,40.890834493891305,-73.9125854610857,The Broads,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY
120,Riverdale,40.890834493891305,-73.9125854610857,Not So Nice,Nightlife Spot,40.882127008282275,-73.91633984722516,N/A,New York
121,Riverdale,40.890834493891305,-73.9125854610857,The Bridge Tavern,Sports Bar,40.883495380089926,-73.9017625732257,Bronx,NY
122,Riverdale,40.890834493891305,-73.9125854610857,Jim Lahti Master Studio,Music Venue,40.882785,-73.905243,Bronx,NY
123,Riverdale,40.890834493891305,-73.9125854610857,Fenwick's Bar & Grill,Bar,40.88717029252308,-73.90452576720683,Bronx,NY
124,Riverdale,40.890834493891305,-73.9125854610857,An Beal Bocht Cafe,Bar,40.88730309009836,-73.90502527528892,Bronx,NY
125,Riverdale,40.890834493891305,-73.9125854610857,American Legion Post 774,Speakeasy,40.880019,-73.90818357467651,Bronx,NY
126,Kingsbridge,40.88168737120521,-73.90281798724604,Silhouette Restaurant & Lounge,Latin American Restaurant,40.88070643866,-73.90268654351613,Bronx,NY
127,Kingsbridge,40.88168737120521,-73.90281798724604,Madden's Uptown Bar & Grill,Pub,40.883327,-73.901777,Bronx,NY
128,Kingsbridge,40.88168737120521,-73.90281798724604,3227,Other Nightlife,40.88187038406912,-73.90500630497122,Bronx,NY
129,Kingsbridge,40.88168737120521,-73.90281798724604,madden's Pub,Pub,40.88347546287676,-73.90164775353237,Bronx,NY
130,Kingsbridge,40.88168737120521,-73.90281798724604,The Bridge Tavern,Sports Bar,40.883495380089926,-73.9017625732257,Bronx,NY
131,Kingsbridge,40.88168737120521,-73.90281798724604,T & Y Wine and Spirits,Other Nightlife,40.884048004341764,-73.90071761888552,Bronx,NY
132,Kingsbridge,40.88168737120521,-73.90281798724604,Rowes Wharf Bar,Bar,40.8832,-73.91,Boston,MA
133,Kingsbridge,40.88168737120521,-73.90281798724604,Roma Lounge,Lounge,40.89045281501451,-73.90234248082983,Bronx,NY
134,Kingsbridge,40.88168737120521,-73.90281798724604,The Bronx Public,Pub,40.87837659295958,-73.90348117090952,New York,NY
135,Kingsbridge,40.88168737120521,-73.90281798724604,The Broads,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY
136,Kingsbridge,40.88168737120521,-73.90281798724604,Mr. McGoo's,Bar,40.87941944187052,-73.90424277141844,Bronx,NY
137,Kingsbridge,40.88168737120521,-73.90281798724604,Spirit Forham,Wine Bar,40.884784,-73.900068,Bronx,NY
138,Kingsbridge,40.88168737120521,-73.90281798724604,The Punchbowl,Bar,40.885019560687695,-73.90066150520914,Bronx,NY
139,Kingsbridge,40.88168737120521,-73.90281798724604,Randal Og's,Bar,40.878544001695055,-73.90343540725384,Bronx,NY
140,Kingsbridge,40.88168737120521,-73.90281798724604,Sofia's Fitness and Dance Studio,Nightlife Spot,40.885277,-73.906973,Bronx,NY
141,Kingsbridge,40.88168737120521,-73.90281798724604,Tilila,Bar,40.88387242577101,-73.89820853750416,Bronx,NY
142,Kingsbridge,40.88168737120521,-73.90281798724604,Tiki Bar,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
143,Kingsbridge,40.88168737120521,-73.90281798724604,American Legion Post 774,Speakeasy,40.880019,-73.90818357467651,Bronx,NY
144,Kingsbridge,40.88168737120521,-73.90281798724604,Trifffffe Bar,Bar,40.87891491021235,-73.90607444467327,Boogie Down Bronx,NY
145,Kingsbridge,40.88168737120521,-73.90281798724604,paulines,Bar,40.88464,-73.89075,Bronx,NY
146,Kingsbridge,40.88168737120521,-73.90281798724604,American Legion,Dive Bar,40.880039,-73.908352,Bronx,NY
147,Kingsbridge,40.88168737120521,-73.90281798724604,Bronx Alehouse,Beer Bar,40.88474887262718,-73.89969883486997,Bronx,NY
148,Kingsbridge,40.88168737120521,-73.90281798724604,Keenan's,Bar,40.87920843540575,-73.90456714524868,New York,NY
149,Kingsbridge,40.88168737120521,-73.90281798724604,Paulo's hole,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY
150,Kingsbridge,40.88168737120521,-73.90281798724604,Hot Entertainment and Recording,Nightlife Spot,40.883411,-73.892087,Bronx,NY
151,Kingsbridge,40.88168737120521,-73.90281798724604,Mega Apartment.,Hotel Bar,40.885053842506586,-73.91298125998466,Bronx,NY
152,Kingsbridge,40.88168737120521,-73.90281798724604,Riverdale Garden Restaurant & Lounge,Other Nightlife,40.889410572788414,-73.90010849948735,Bronx,NY
153,Kingsbridge,40.88168737120521,-73.90281798724604,Unicorn Valley,Lounge,40.882509,-73.892444,Bronx,NY
154,Kingsbridge,40.88168737120521,-73.90281798724604,The Foxx Hole,Strip Club,40.87345787645265,-73.90267548974423,Bronx,NY
155,Kingsbridge,40.88168737120521,-73.90281798724604,Cortes Tattoo,Lounge,40.88083267211914,-73.91049194335938,Bronx,NY
156,Kingsbridge,40.88168737120521,-73.90281798724604,622,Bar,40.890323,-73.899408,Bronx,NY
157,Kingsbridge,40.88168737120521,-73.90281798724604,A&B's Rooftop Lounge,Nightclub,40.884301,-73.911061,Bronx,NY
158,Kingsbridge,40.88168737120521,-73.90281798724604,Sylin Hill,Other Nightlife,40.87157607078552,-73.89954149723053,Bronx,NY
159,Kingsbridge,40.88168737120521,-73.90281798724604,Jim Lahti Master Studio,Music Venue,40.882785,-73.905243,Bronx,NY
160,Kingsbridge,40.88168737120521,-73.90281798724604,Hudson's,Bar,40.886988,-73.907362,Bronx,NY
161,Kingsbridge,40.88168737120521,-73.90281798724604,Barcelona Bites Gastro Club,Lounge,40.889419717020665,-73.89923731358874,Bronx,NY
162,Kingsbridge,40.88168737120521,-73.90281798724604,235th at Riverdale Ave.,Cocktail Bar,40.88518953181696,-73.90736626166387,N/A,New York
163,Kingsbridge,40.88168737120521,-73.90281798724604,Mon Amour Coffee & Wine,Coffee Shop,40.88500863418534,-73.90033222698838,Bronx,NY
164,Kingsbridge,40.88168737120521,-73.90281798724604,Lounge 243,Bar,40.89102799117388,-73.89830347223476,Bronx,NY
165,Kingsbridge,40.88168737120521,-73.90281798724604,Play Room),Nightclub,40.890182,-73.899381,Bronx,NY
166,Kingsbridge,40.88168737120521,-73.90281798724604,Lamp And Jelly Fish,Cocktail Bar,40.8831015575006,-73.90906570563936,Bronx,NY
167,Kingsbridge,40.88168737120521,-73.90281798724604,The Local,Bar,40.87855275865213,-73.90346176628925,Bronx,NY
168,Kingsbridge,40.88168737120521,-73.90281798724604,Fenwick's Bar & Grill,Bar,40.88717029252308,-73.90452576720683,Bronx,NY
169,Kingsbridge,40.88168737120521,-73.90281798724604,Blackstone Bar & Grill,Bar,40.887253200116284,-73.9072508524159,Bronx,NY
170,Kingsbridge,40.88168737120521,-73.90281798724604,Villa Lobos,Music Venue,40.87570701775556,-73.90960539082762,New York,NY
171,Kingsbridge,40.88168737120521,-73.90281798724604,An Beal Bocht Cafe,Bar,40.88730309009836,-73.90502527528892,Bronx,NY
172,Kingsbridge,40.88168737120521,-73.90281798724604,Bugatti Music Group,Music Venue,40.886617629570324,-73.91140241689858,Bronx,NY
173,Marble Hill,40.87655077879964,-73.91065965862981,American Legion Post 774,Speakeasy,40.880019,-73.90818357467651,Bronx,NY
174,Marble Hill,40.87655077879964,-73.91065965862981,Villa Lobos,Music Venue,40.87570701775556,-73.90960539082762,New York,NY
175,Marble Hill,40.87655077879964,-73.91065965862981,The Bronx Public,Pub,40.87837659295958,-73.90348117090952,New York,NY
176,Marble Hill,40.87655077879964,-73.91065965862981,Playroom Lounge,Nightclub,40.86739166122563,-73.91706168651581,New York,NY
177,Marble Hill,40.87655077879964,-73.91065965862981,shooter's bar and grille,Pub,40.878580964923,-73.91449119612082,Bronx,NY
178,Marble Hill,40.87655077879964,-73.91065965862981,Tiki Bar,Beach Bar,40.8867,-73.9116,Sea Bright,NJ
179,Marble Hill,40.87655077879964,-73.91065965862981,American Legion,Dive Bar,40.880039,-73.908352,Bronx,NY
180,Marble Hill,40.87655077879964,-73.91065965862981,Keenan's,Bar,40.87920843540575,-73.90456714524868,New York,NY
181,Marble Hill,40.87655077879964,-73.91065965862981,Trifffffe Bar,Bar,40.87891491021235,-73.90607444467327,Boogie Down Bronx,NY
182,Marble Hill,40.87655077879964,-73.91065965862981,Mr. McGoo's,Bar,40.87941944187052,-73.90424277141844,Bronx,NY
183,Marble Hill,40.87655077879964,-73.91065965862981,Rowes Wharf Bar,Bar,40.8832,-73.91,Boston,MA
184,Marble Hill,40.87655077879964,-73.91065965862981,Cortes Tattoo,Lounge,40.88083267211914,-73.91049194335938,Bronx,NY
185,Marble Hill,40.87655077879964,-73.91065965862981,DIAZLOUNGE,Nightlife Spot,40.87651215,-73.90468925,N/A,New York
186,Marble Hill,40.87655077879964,-73.91065965862981,NoMa Swingers Association,Other Nightlife,40.88129445224679,-73.90816431321454,N/A,New York
187,Marble Hill,40.87655077879964,-73.91065965862981,Randal Og's,Bar,40.878544001695055,-73.90343540725384,Bronx,NY
188,Marble Hill,40.87655077879964,-73.91065965862981,3227,Other Nightlife,40.88187038406912,-73.90500630497122,Bronx,NY
189,Marble Hill,40.87655077879964,-73.91065965862981,The Foxx Hole,Strip Club,40.87345787645265,-73.90267548974423,Bronx,NY
190,Marble Hill,40.87655077879964,-73.91065965862981,Not So Nice,Nightlife Spot,40.882127008282275,-73.91633984722516,N/A,New York
191,Marble Hill,40.87655077879964,-73.91065965862981,T & Y Wine and Spirits,Other Nightlife,40.884048004341764,-73.90071761888552,Bronx,NY
192,Marble Hill,40.87655077879964,-73.91065965862981,Beer Pong Central,Bar,40.86844828995615,-73.91790142701824,New York,NY
193,Marble Hill,40.87655077879964,-73.91065965862981,KB To Your Melon,Lounge,40.869409544746496,-73.90323241713011,N/A,New York
194,Marble Hill,40.87655077879964,-73.91065965862981,The Broads,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY
195,Marble Hill,40.87655077879964,-73.91065965862981,Hermandad Quisqueyana,Sports Bar,40.867047,-73.917199,New York,NY
196,Marble Hill,40.87655077879964,-73.91065965862981,Hudson's,Bar,40.886988,-73.907362,Bronx,NY
197,Marble Hill,40.87655077879964,-73.91065965862981,A&B's Rooftop Lounge,Nightclub,40.884301,-73.911061,Bronx,NY
198,Marble Hill,40.87655077879964,-73.91065965862981,Red Lobstrocity (Moving Target),Music Venue,40.87288,-73.918445,N/A,New York
199,Marble Hill,40.87655077879964,-73.91065965862981,235th at Riverdale Ave.,Cocktail Bar,40.88518953181696,-73.90736626166387,N/A,New York
200,Marble Hill,40.87655077879964,-73.91065965862981,Reyes,Wine Bar,40.868292,-73.901564,Bronx,NY
201,Marble Hill,40.87655077879964,-73.91065965862981,Inwood Piano -Sing for Hope,Piano Bar,40.8768479031058,-73.92174217102679,New York,NY
202,Marble Hill,40.87655077879964,-73.91065965862981,Cafe Tabaco y Ron,Lounge,40.86901579447504,-73.9157760815094,New York,NY
203,Marble Hill,40.87655077879964,-73.91065965862981,Indian Road Café,Café,40.87292174447656,-73.91845881138549,New York,NY
204,Marble Hill,40.87655077879964,-73.91065965862981,Lamp And Jelly Fish,Cocktail Bar,40.8831015575006,-73.90906570563936,Bronx,NY
205,Marble Hill,40.87655077879964,-73.91065965862981,Silhouette Restaurant & Lounge,Latin American Restaurant,40.88070643866,-73.90268654351613,Bronx,NY
206,Marble Hill,40.87655077879964,-73.91065965862981,Moose Hall Theatre Company,Concert Hall,40.875071,-73.920736,New York,NY
207,Marble Hill,40.87655077879964,-73.91065965862981,Madden's Uptown Bar & Grill,Pub,40.883327,-73.901777,Bronx,NY
208,Marble Hill,40.87655077879964,-73.91065965862981,JOMO'S,Whisky Bar,40.870203,-73.903531,Bronx,NY
209,Marble Hill,40.87655077879964,-73.91065965862981,Jim Lahti Master Studio,Music Venue,40.882785,-73.905243,Bronx,NY
210,Marble Hill,40.87655077879964,-73.91065965862981,Sylin Hill,Other Nightlife,40.87157607078552,-73.89954149723053,Bronx,NY
211,Marble Hill,40.87655077879964,-73.91065965862981,Sofia's Fitness and Dance Studio,Nightlife Spot,40.885277,-73.906973,Bronx,NY
212,Marble Hill,40.87655077879964,-73.91065965862981,madden's Pub,Pub,40.88347546287676,-73.90164775353237,Bronx,NY
213,Marble Hill,40.87655077879964,-73.91065965862981,The Bridge Tavern,Sports Bar,40.883495380089926,-73.9017625732257,Bronx,NY
214,Marble Hill,40.87655077879964,-73.91065965862981,Vin-Tich Lounge,Nightclub,40.86727702056419,-73.91715022344617,New York,NY
215,Marble Hill,40.87655077879964,-73.91065965862981,Mega Apartment.,Hotel Bar,40.885053842506586,-73.91298125998466,Bronx,NY
